Num,address,contract,function,ctype,content
1,0xecd918222e8deb640c4d172146b04cdd3161928b.sol,ERC20,addadmin,event,{Transfer}
2,0x347e9f48ba5c2f665734c034da60ed9fa264b04a.sol,MultivestToken,approveAndCall,require,"['LEQ', '_spender', 'value tokens']"
3,0x367fc7c0735a2dd4fca44cf95984ce8f4bb64354.sol,PRIME,_beforeTokenTransfer,require,"['NEQ', 'from', '0']"
4,0x1cbc36ad612b1f67c726e412e126b1e4ea613df1.sol,Tellor,depositStake,role,miners
5,0xc84877eff5e051e7709d206408ace2b34edd8430.sol,tmed,setTMEXAddress,role,dev
5,0xc84877eff5e051e7709d206408ace2b34edd8430.sol,tmed,setNumRewardsUsedForAddress,role,devs
6,0xbfdc2c14e39a9db8c15a1202a53c9401a5dad74b.sol,BreadHeads,getBalance,role,owner
7,0x419aa1b768d1476305574a3cb61b7acbf6bd4308.sol,UsingRegistry,constructor,event,appropriate
8,0x465390923ddcef795a0f364a890a6ab3a5be6fd3.sol,MyPetPro,removeTimeLock,role,locker
8,0x465390923ddcef795a0f364a890a6ab3a5be6fd3.sol,MyPetPro,unlock,role,locker
8,0x465390923ddcef795a0f364a890a6ab3a5be6fd3.sol,MyPetPro,removeInvestorLock,role,locker
11,0x0ab09a24f79961a5da0bd81a9d7e37aeb2cbafa4.sol,ERC20Mintable,constructor,event,{Transfer}
12,0x23b3790f18c4c8986dfda1219aebd20eedf1af5e.sol,ERC20,_transfer,require,"['GEQ', 'sender', 'amount']"
12,0x23b3790f18c4c8986dfda1219aebd20eedf1af5e.sol,ERC20,transferFrom,require,"['GEQ', 'sender', 'amount']"
13,0xf6e53b3aae671319a0f9d9ca7fac5f41599bc7a5.sol,MerkleDrop,addFunder,role,governance
13,0xf6e53b3aae671319a0f9d9ca7fac5f41599bc7a5.sol,MerkleDrop,removeFunder,role,governance
15,0xfd1f40e0af44f8dbf1f07c12164dbace0b0f32d4.sol,CnusToken,lockAddress,role,issuer
15,0xfd1f40e0af44f8dbf1f07c12164dbace0b0f32d4.sol,CnusToken,unlockAddress,role,issuer
16,0x9540cc6c10b210e6214aec8b88a7b0b30e077745.sol,Shibakemon,increaseAllowance,event,{Approval}
17,0x36f928796f8ac12cc11834499e145d9772883044.sol,BetokenFund,voteOnCandidate,role,manager
17,0x36f928796f8ac12cc11834499e145d9772883044.sol,BetokenFund,proposeCandidate,role,manager
17,0x36f928796f8ac12cc11834499e145d9772883044.sol,BetokenFund,listKyberToken,role,managers
18,0xb2e3e952ba99a3eab76eddf85a2d387e3d9d335b.sol,ContractRegistry,set,event,corresponding
20,0xab8cf5eb5d3b5d09c09c6ab7116b8ad7200c0fd4.sol,ERC20,BlacklistUser,event,{Approval}
21,0xc2b50fe40b1ced0fc6bea75241d2cf3c90f925ee.sol,ERC20,_transfer,event,{Approval}
23,0xa10d3bc9b7c499061be295ecad6d648b7a645125.sol,SakeILO,getUnlockLPAmount,event,{UnlockLP}
24,0xbfbe5bbd57a2d49f588e8dbf8d1380b7f5f6d9ae.sol,FeesWallet,fillFeeBucket,event,corresponding
25,0xc1eb987fda4676a372ae87244fd18bfb279938d8.sol,Polkally,_approveCheck,event,{Approval}
25,0xc1eb987fda4676a372ae87244fd18bfb279938d8.sol,Polkally,increaseAllowance,event,{Approval}
25,0xc1eb987fda4676a372ae87244fd18bfb279938d8.sol,Polkally,approved,event,{Approval}
25,0xc1eb987fda4676a372ae87244fd18bfb279938d8.sol,Polkally,addApprove,event,{Approval}
26,0x5882d49d3511e09096cbbab7e19fbfb82f65f28d.sol,BioToken,getNoContributors,role,owner
27,0xba4dff28c26ad2f2044b30dc4e52d21d87742c15.sol,EUR0xComp,_transfer,require,"['NEQ', 'recipient', '0']"
27,0xba4dff28c26ad2f2044b30dc4e52d21d87742c15.sol,EUR0xComp,_transfer,require,"['NEQ', 'sender', '0']"
27,0xba4dff28c26ad2f2044b30dc4e52d21d87742c15.sol,EUR0xComp,transferFrom,require,"['NEQ', 'recipient', '0']"
27,0xba4dff28c26ad2f2044b30dc4e52d21d87742c15.sol,EUR0xComp,transfer,require,"['NEQ', 'recipient', '0']"
28,0xb352131fe48571b7661390e65be4f12119e9686f.sol,ChicADees,mint,require,"['NEQ', 'account', '0']"
29,0x7598c3543ef4f27f09c98aeb3753506a0290a0fc.sol,tmed,setNumRewardsAvailableForAddress,role,devs
29,0x7598c3543ef4f27f09c98aeb3753506a0290a0fc.sol,tmed,setTMEXAddress,role,dev
31,0xb8a68f9b8363af79def5c5e11b12e8a258ce5be8.sol,Onigiri,withdrawDevCommission,role,developer
33,0x218552baaad0d07a2ea2151741c5c604c057d8db.sol,MBDAManager,newFund,role,manager
34,0xead29b4f111959d15fb07a6819f686896b04f1ea.sol,dnss,setTime,role,administrator
35,0xc7edc4d1e16738a65c5ca144cda666d5145a29f3.sol,ChronoBankPlatform,_error,event,Error
